,Stint 1,Stint 2,Stint 3,Stint 4
Lewis Hamilton,Soft (13),Medium (17),Soft (13),
Nico Rosberg,Soft (12),Medium (19),Soft (12),
Romain Grosjean,Soft (9),Soft (12),Medium (22),
Daniil Kvyat,Soft (9),Medium (18),Soft (16),
Sergio Perez,Soft (8),Soft (12),Medium (23),
Felipe Massa,Soft (9),Medium (12),Medium (22),
Kimi Raikkonen,Soft (11),Soft (10),Medium (22),
Max Verstappen,Soft (9),Soft (12),Medium (11),Soft (11)
Valtteri Bottas,Soft (8),Soft (13),Medium (22),
Marcus Ericsson,Soft (9),Medium (19),Soft (15),
Felipe Nasr,Medium (10),Soft (17),Soft (16),
Sebastian Vettel,Soft (14),Medium (28),,
Fernando Alonso,Medium (8),Soft (12),Soft (12),Soft (10)
Jenson Button,Medium (11),Soft (9),Soft (15),Soft (7)
Roberto Merhi,Soft (15),Soft (14),Medium (13),
Will Stevens,Soft (16),Soft (14),Medium (12),
Carlos Sainz Jnr,Soft (5),Medium (18),Soft (9),
Daniel Ricciardo,Soft (7),Medium (12),,
Pastor Maldonado,Soft (2),,,
Nico Hulkenberg,,,,
