NAME,Stint 1,Stint 2,Stint 3
Lewis Hamilton,Super (29),Soft (41),
Nico Rosberg,Super (30),Soft (40),
Valtteri Bottas,Super (28),Soft (42),
Kimi Raikkonen,Super (26),Soft (14),Super (30)
Sebastian Vettel,Super (7),Soft (28),Soft (35)
Felipe Massa,Soft (37),Super (33),
Pastor Maldonado,Super (17),Soft (53),
Nico Hulkenberg,Super (28),Soft (41),
Daniil Kvyat,Super (27),Soft (42),
Romain Grosjean,Super (27),Soft (22),Soft (20)
Sergio Perez,Super (24),Soft (45),
Carlos Sainz Jnr,Super (27),Soft (42),
Daniel Ricciardo,Super (23),Soft (46),
Marcus Ericsson,Super (28),Soft (41),
Max Verstappen,Soft (39),Super (30),
Felipe Nasr,Super (26),Soft (42),
Will Stevens,Soft (34),Super (13),Super (19)
Roberto Merhi,Soft (35),Super (22),
Jenson Button,Soft (44),Super (10),
Fernando Alonso,Super (31),Soft (13),
