NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,Stint 6
Nico Rosberg,Soft (20),Soft (16),Medium (20),,,
Sebastian Vettel,Super (4),Super (13),Soft (18),Soft (21),,
Daniil Kvyat,Super (4),Soft (15),Soft (16),Medium (21),,
Daniel Ricciardo,Super (3),Soft (16),Soft (18),Medium (19),,
Kimi Raikkonen,Super (1),Soft (13),Medium (23),Soft (19),,
Felipe Massa,Soft (19),Soft (12),Medium (25),,,
Lewis Hamilton,Soft (1),Soft (4),Super (1),Soft (15),Soft (9),Medium (26)
Max Verstappen,Super (4),Soft (16),Medium (19),Soft (17),,
Carlos Sainz Jnr,Super (4),Soft (15),Soft (14),Medium (23),,
Valtteri Bottas,Super (4),Soft (17),Soft (9),Medium (26),,
Sergio Perez,Super (4),Soft (14),Soft (10),Medium (28),,
Fernando Alonso,Soft (16),Medium (16),Medium (24),,,
Jenson Button,Super (4),Medium (23),Medium (17),Super (12),,
Esteban Gutierrez,Soft (19),Soft (15),Super (9),Super (12),,
Nico Hulkenberg,Super (4),Soft (13),Soft (9),Medium (20),Super (9),
Marcus Ericsson,Soft (4),Medium (24),Medium (27),,,
Kevin Magnussen,Super (4),Soft (16),Soft (15),Medium (20),,
Pascal Wehrlein,Soft (15),Soft (12),Soft (16),Super (12),,
Romain Grosjean,Soft (1),Soft (19),Soft (13),Super (11),Super (11),
Felipe Nasr,Soft (1),Medium (19),Medium (20),Soft (15),,
Rio Haryanto,Soft (18),Soft (10),Soft (12),Medium (15),,
Jolyon Palmer,Soft (15),Super (9),Soft (14),Medium (17),,
