TRACK,LENGTH,LAPS,DOWNFORCE,LATERAL,ASPHALT_ABR,ASPHALT_GRP,TIRE_STRESS
Australia,5.30,58,4,1,3,1,1
Bahrain,5.41,57,3,3,5,4,3
China,5.45,56,3,4,3,3,4
Malaysia,5.54,56,3,4,3,3,4
Spain,4.65,66,4,4,4,4,4
Monaco,3.34,78,5,1,1,1,1
Canada,4.36,70,2,1,1,1,2
Austria,4.33,71,4,3,1,2,2
Britain,5.89,52,4,5,3,4,5
Hungary,4.38,70,4,4,3,4,3
Belgium,7.00,44,2,4,3,4,5
Italy,5.79,53,1,2,3,2,5
Singapore,5.06,61,5,2,3,1,2
Japan,5.80,53,3,5,3,4,5
Russia,5.84,53,4,5,1,4,2
USA,5.51,56,3,4,3,2,3
Mexico,4.30,71,2,3,0,4,0
Brazil,4.30,71,4,4,3,3,3
AbuDhabi,5.55,55,3,3,2,2,2
