TRACK,YEAR,LENGTH,LAPS,DOWNFORCE,LATERAL,ASPHALT_ABR,ASPHALT_GRP,TIRE_STRESS,AIR_TEMP_MAX,AIR_TEMP_MIN,T_TEMP_MAX,T_TEMP_MIN
Australia,2016,5.30,58,4,1,3,1,1,24.70,22.20,38.40,26.80
Bahrain,2016,5.41,57,3,3,5,4,3,22.60,21.20,29.60,25.90
China,2016,5.45,56,3,4,3,3,4,21.90,20.30,37.30,45.30
Australia,2015,5.30,58,4,1,3,1,1,21.00,17.00,38.00,29.00
Malaysia,2015,5.54,56,3,4,3,3,4,35.40,32.70,61.40,53.00
China,2015,5.45,56,3,4,3,3,4,22.20,20.50,46.60,40.30
Spain,2015,4.65,66,4,4,4,4,4,28.30,25.30,51.90,45.60
Monaco,2015,3.34,78,5,1,1,1,1,19.40,18.00,40.10,31.50
Canada,2015,4.36,70,2,1,1,1,2,22.00,20.20,42.30,37.60
Austria,2015,4.33,71,4,3,1,2,2,16.00,14.00,35.60,27.10
Britain,2015,5.89,52,4,5,3,4,5,20.60,17.30,38.90,23.90
Hungary,2015,4.38,70,4,4,3,4,3,24.90,22.00,49.20,40.70
Belgium,2015,7.00,44,2,4,3,4,5,23.00,22.00,37.00,33.00
Italy,2015,5.79,53,1,2,3,2,5,23.00,22.00,39.00,38.00
Singapore,2015,5.06,61,5,2,3,1,2,30.30,28.70,37.40,33.50
Japan,2015,5.80,53,3,5,3,4,5,28.60,27.20,42.40,35.30
Russia,2015,5.84,53,4,5,1,4,2,18.80,17.90,28.00,25.60
USA,2015,5.51,56,3,4,3,2,3,17.80,17.20,19.40,17.80
Mexico,2015,4.30,71,2,3,0,4,0,25.20,22.10,56.50,42.30
Brazil,2015,4.30,71,4,4,3,3,3,25.80,22.10,47.30,38.20
AbuDhabi,2015,5.55,55,3,3,2,2,2,27.00,25.10,29.30,27.50
Bahrain,2015,5.41,57,3,3,5,4,3,26.20,24.10,31.00,28.80
